iso2,role,participants
AU,panel,49
BR,panel,62
EG,panel,90
FR,panel,89
JP,panel,62
KR,panel,57
MX,panel,95
PL,panel,64
US,panel,111
ZA,panel,67
AE,source,
AR,source,
AT,source,
BE,source,
BO,source,
CA,source,
CH,source,
CL,source,
CO,source,
CR,source,
CZ,source,
DE,source,
DK,source,
DO,source,
EC,source,
EE,source,
ES,source,
FI,source,
GB,source,
GT,source,
HN,source,
HU,source,
ID,source,
IE,source,
IL,source,
IN,source,
IS,source,
IT,source,
KE,source,
LU,source,
NG,source,
NI,source,
NL,source,
NZ,source,
PA,source,
PE,source,
PT,source,
PY,source,
RO,source,
RS,source,
RU,source,
SA,source,
SE,source,
TR,source,
TZ,source,
UA,source,
UG,source,
UY,source,
ZW,source,
