_stem,corpus_group,corpus,crowd_rating,ref_rating,istc,cv_pipeline,n_participants
0001_12step,benchmark100,harmonix,6.05,4.15,23.6,0.00701,35
0003_6foot7foot,benchmark100,harmonix,5.181818181818182,4.25,20.766666666666666,0.00303,36
0004_abc,benchmark100,harmonix,4.461538461538462,3.4615384615384617,14.933333333333334,0.01374,36
0005_again,benchmark100,harmonix,3.6666666666666665,3.952380952380953,16.2,0.02378,36
001_youtube_fV4DiAyExN0,benchmark100,tapcorrect,5.461538461538462,4.6923076923076925,17.6,0.02192,36
002_youtube_CvMfvuJsYmE,benchmark100,tapcorrect,4.8,5.4,21.5,0.00519,36
003_youtube_tXjqKzX28LI,benchmark100,tapcorrect,5.285714285714286,4.571428571428571,24.366666666666667,0.00412,35
004_youtube_IwOfCgkyEj0,benchmark100,tapcorrect,5.4,4.9,23.433333333333334,0.00944,36
0054_conceited,benchmark100,harmonix,6.0,5.9,22.466666666666665,0.00858,35
005_youtube_RB-RcX5DS5A,benchmark100,tapcorrect,5.25,3.5,21.066666666666666,0.01093,35
00_Funk3-98-A_comp_mix,benchmark100,guitarset,2.8947368421052633,3.0526315789473686,12.566666666666666,0.03122,36
00_Rock2-85-F_comp_mix,benchmark100,guitarset,5.0,5.1,20.9,0.01272,35
00_SS1-68-E_comp_mix,benchmark100,guitarset,3.636363636363636,3.636363636363636,9.2,0.02183,35
00_SS2-88-F_comp_mix,benchmark100,guitarset,3.8,4.0,12.633333333333333,0.02364,35
0191_newslang,benchmark100,harmonix,4.6923076923076925,3.692307692307693,25.466666666666665,0.01094,35
01_Funk2-108-Eb_comp_mix,benchmark100,guitarset,4.6923076923076925,4.615384615384615,20.5,0.01786,35
025_youtube_8jsFGdeWNPo,benchmark100,tapcorrect,4.5,5.166666666666667,11.733333333333333,0.01048,35
02_BN3-119-G_comp_mix,benchmark100,guitarset,5.0588235294117645,5.529411764705882,19.566666666666666,0.00471,36
02_Jazz2-110-Bb_comp_mix,benchmark100,guitarset,2.636363636363636,3.9166666666666665,14.3,0.02384,36
03_SS3-84-Bb_comp_mix,benchmark100,guitarset,2.727272727272727,3.1818181818181817,14.4,0.02807,35
054_youtube_UgL4N4Hf1dk,benchmark100,tapcorrect,5.631578947368421,5.45,23.866666666666667,0.0033,35
071_youtube_WBQ03PXMpqY,benchmark100,tapcorrect,5.444444444444445,5.333333333333333,19.933333333333334,0.01457,36
0773_kissmethruthephone,benchmark100,harmonix,4.476190476190476,5.095238095238095,22.9,0.00363,36
0948_thislove,benchmark100,harmonix,6.083333333333333,3.0833333333333335,24.8,0.01105,36
1-0fGHZf0K1p8,globalmood40,globalmood,5.85,,64.23333333333333,0.01032,108
10-TunFcFByq28,globalmood40,globalmood,5.461538461538462,,69.43333333333334,0.00550,108
11-JWyovRzld1I,globalmood40,globalmood,4.416666666666667,,57.2,0.01970,107
12-4Snl5lw-ku4,globalmood40,globalmood,5.9,,74.76666666666667,0.01010,110
13-1K4KwuV2l4s,globalmood40,globalmood,4.4,,78.53333333333333,0.00273,110
14-4ZMq4-T0DaQ,globalmood40,globalmood,4.9,,65.06666666666666,0.00630,109
15-cg49uu60tXk,globalmood40,globalmood,5.117647058823529,,68.93333333333334,0.01050,113
16-cXuGD48qs3Y,globalmood40,globalmood,5.333333333333333,,77.86666666666666,0.00766,111
17-ehHKH5PbGYc,globalmood40,globalmood,5.166666666666667,,58.03333333333333,0.00821,110
18-FxQUodHlP5M,globalmood40,globalmood,4.2,,38.36666666666667,0.04763,111
19-Ii8t-XIw6aM,globalmood40,globalmood,4.533333333333333,,57.7,0.01441,108
2-0R8IbpKXavM,globalmood40,globalmood,5.294117647058823,,78.8,0.00943,108
20-ipDNOrqLIHU,globalmood40,globalmood,5.769230769230769,,69.9,0.00418,109
21-IQCCdf_sVO0,globalmood40,globalmood,4.0,,70.1,0.02295,111
22-JfiORjOfXnc,globalmood40,globalmood,3.7142857142857144,,47.43333333333333,0.02073,108
23-JQnN90qqSZg,globalmood40,globalmood,5.909090909090909,,68.3,0.00928,108
24-M9moY0hEJRE,globalmood40,globalmood,5.1875,,69.23333333333333,0.00889,112
25-niyrxbHusd0,globalmood40,globalmood,3.3076923076923075,,66.8,0.01011,110
26-NXek-3pRZM8,globalmood40,globalmood,3.1,,47.666666666666664,0.00328,109
27-oIEjo5eh5FY,globalmood40,globalmood,3.5833333333333335,,65.2,0.00756,107
28-QEd7PTIDGT8,globalmood40,globalmood,5.2,,79.76666666666667,0.00273,111
