wav,beat_time_s,window_start,window_end,algorithm
0001_12step.wav,0.26,0.0,30.0,madmom
0001_12step.wav,0.78,0.0,30.0,madmom
0001_12step.wav,1.31,0.0,30.0,madmom
0001_12step.wav,1.84,0.0,30.0,madmom
0001_12step.wav,2.38,0.0,30.0,madmom
0001_12step.wav,2.9,0.0,30.0,madmom
0001_12step.wav,3.44,0.0,30.0,madmom
0001_12step.wav,3.96,0.0,30.0,madmom
0001_12step.wav,4.5,0.0,30.0,madmom
0001_12step.wav,5.03,0.0,30.0,madmom
0001_12step.wav,5.56,0.0,30.0,madmom
0001_12step.wav,6.09,0.0,30.0,madmom
0001_12step.wav,6.62,0.0,30.0,madmom
0001_12step.wav,7.15,0.0,30.0,madmom
0001_12step.wav,7.68,0.0,30.0,madmom
0001_12step.wav,8.21,0.0,30.0,madmom
0001_12step.wav,8.75,0.0,30.0,madmom
0001_12step.wav,9.27,0.0,30.0,madmom
0001_12step.wav,9.81,0.0,30.0,madmom
0001_12step.wav,10.33,0.0,30.0,madmom
0001_12step.wav,10.87,0.0,30.0,madmom
0001_12step.wav,11.38,0.0,30.0,madmom
0001_12step.wav,11.93,0.0,30.0,madmom
0001_12step.wav,12.47,0.0,30.0,madmom
0001_12step.wav,12.99,0.0,30.0,madmom
0001_12step.wav,13.53,0.0,30.0,madmom
0001_12step.wav,14.07,0.0,30.0,madmom
0001_12step.wav,14.61,0.0,30.0,madmom
0001_12step.wav,15.13,0.0,30.0,madmom
0001_12step.wav,15.67,0.0,30.0,madmom
0001_12step.wav,16.19,0.0,30.0,madmom
0001_12step.wav,16.73,0.0,30.0,madmom
0001_12step.wav,17.26,0.0,30.0,madmom
0001_12step.wav,17.79,0.0,30.0,madmom
0001_12step.wav,18.32,0.0,30.0,madmom
0001_12step.wav,18.86,0.0,30.0,madmom
0001_12step.wav,19.37,0.0,30.0,madmom
0001_12step.wav,19.9,0.0,30.0,madmom
0001_12step.wav,20.44,0.0,30.0,madmom
0001_12step.wav,20.98,0.0,30.0,madmom
0001_12step.wav,21.5,0.0,30.0,madmom
0001_12step.wav,22.02,0.0,30.0,madmom
0001_12step.wav,22.55,0.0,30.0,madmom
0001_12step.wav,23.08,0.0,30.0,madmom
0001_12step.wav,23.61,0.0,30.0,madmom
0001_12step.wav,24.14,0.0,30.0,madmom
0001_12step.wav,24.68,0.0,30.0,madmom
0001_12step.wav,25.2,0.0,30.0,madmom
0001_12step.wav,25.74,0.0,30.0,madmom
0001_12step.wav,26.26,0.0,30.0,madmom
0001_12step.wav,26.8,0.0,30.0,madmom
0001_12step.wav,27.33,0.0,30.0,madmom
0001_12step.wav,27.86,0.0,30.0,madmom
0001_12step.wav,28.39,0.0,30.0,madmom
0001_12step.wav,28.93,0.0,30.0,madmom
0001_12step.wav,29.48,0.0,30.0,madmom
0001_12step.wav,29.98,0.0,30.0,madmom
0003_6foot7foot.wav,0.02,0.0,30.0,madmom
0003_6foot7foot.wav,0.53,0.0,30.0,madmom
0003_6foot7foot.wav,1.03,0.0,30.0,madmom
0003_6foot7foot.wav,1.53,0.0,30.0,madmom
0003_6foot7foot.wav,2.07,0.0,30.0,madmom
0003_6foot7foot.wav,2.55,0.0,30.0,madmom
0003_6foot7foot.wav,3.0,0.0,30.0,madmom
0003_6foot7foot.wav,3.48,0.0,30.0,madmom
0003_6foot7foot.wav,3.92,0.0,30.0,madmom
0003_6foot7foot.wav,4.3,0.0,30.0,madmom
0003_6foot7foot.wav,4.67,0.0,30.0,madmom
0003_6foot7foot.wav,5.04,0.0,30.0,madmom
0003_6foot7foot.wav,5.4,0.0,30.0,madmom
0003_6foot7foot.wav,5.74,0.0,30.0,madmom
0003_6foot7foot.wav,6.12,0.0,30.0,madmom
0003_6foot7foot.wav,6.48,0.0,30.0,madmom
0003_6foot7foot.wav,6.82,0.0,30.0,madmom
0003_6foot7foot.wav,7.19,0.0,30.0,madmom
0003_6foot7foot.wav,7.54,0.0,30.0,madmom
0003_6foot7foot.wav,7.9,0.0,30.0,madmom
0003_6foot7foot.wav,8.26,0.0,30.0,madmom
0003_6foot7foot.wav,8.61,0.0,30.0,madmom
0003_6foot7foot.wav,8.96,0.0,30.0,madmom
0003_6foot7foot.wav,9.33,0.0,30.0,madmom
0003_6foot7foot.wav,9.69,0.0,30.0,madmom
0003_6foot7foot.wav,10.05,0.0,30.0,madmom
0003_6foot7foot.wav,10.4,0.0,30.0,madmom
0003_6foot7foot.wav,10.75,0.0,30.0,madmom
0003_6foot7foot.wav,11.12,0.0,30.0,madmom
0003_6foot7foot.wav,11.47,0.0,30.0,madmom
0003_6foot7foot.wav,11.82,0.0,30.0,madmom
0003_6foot7foot.wav,12.19,0.0,30.0,madmom
0003_6foot7foot.wav,12.55,0.0,30.0,madmom
0003_6foot7foot.wav,12.9,0.0,30.0,madmom
0003_6foot7foot.wav,13.25,0.0,30.0,madmom
0003_6foot7foot.wav,13.63,0.0,30.0,madmom
0003_6foot7foot.wav,13.98,0.0,30.0,madmom
0003_6foot7foot.wav,14.34,0.0,30.0,madmom
0003_6foot7foot.wav,14.7,0.0,30.0,madmom
0003_6foot7foot.wav,15.05,0.0,30.0,madmom
0003_6foot7foot.wav,15.41,0.0,30.0,madmom
0003_6foot7foot.wav,15.77,0.0,30.0,madmom
0003_6foot7foot.wav,16.12,0.0,30.0,madmom
0003_6foot7foot.wav,16.49,0.0,30.0,madmom
0003_6foot7foot.wav,16.84,0.0,30.0,madmom
0003_6foot7foot.wav,17.2,0.0,30.0,madmom
0003_6foot7foot.wav,17.57,0.0,30.0,madmom
0003_6foot7foot.wav,17.92,0.0,30.0,madmom
0003_6foot7foot.wav,18.27,0.0,30.0,madmom
0003_6foot7foot.wav,18.62,0.0,30.0,madmom
0003_6foot7foot.wav,18.98,0.0,30.0,madmom
0003_6foot7foot.wav,19.33,0.0,30.0,madmom
0003_6foot7foot.wav,19.7,0.0,30.0,madmom
0003_6foot7foot.wav,20.06,0.0,30.0,madmom
0003_6foot7foot.wav,20.42,0.0,30.0,madmom
0003_6foot7foot.wav,20.77,0.0,30.0,madmom
0003_6foot7foot.wav,21.13,0.0,30.0,madmom
0003_6foot7foot.wav,21.48,0.0,30.0,madmom
0003_6foot7foot.wav,21.85,0.0,30.0,madmom
0003_6foot7foot.wav,22.2,0.0,30.0,madmom
0003_6foot7foot.wav,22.56,0.0,30.0,madmom
0003_6foot7foot.wav,22.92,0.0,30.0,madmom
0003_6foot7foot.wav,23.29,0.0,30.0,madmom
0003_6foot7foot.wav,23.64,0.0,30.0,madmom
0003_6foot7foot.wav,23.99,0.0,30.0,madmom
0003_6foot7foot.wav,24.34,0.0,30.0,madmom
0003_6foot7foot.wav,24.7,0.0,30.0,madmom
0003_6foot7foot.wav,25.06,0.0,30.0,madmom
0003_6foot7foot.wav,25.42,0.0,30.0,madmom
0003_6foot7foot.wav,25.78,0.0,30.0,madmom
0003_6foot7foot.wav,26.15,0.0,30.0,madmom
0003_6foot7foot.wav,26.5,0.0,30.0,madmom
0003_6foot7foot.wav,26.85,0.0,30.0,madmom
0003_6foot7foot.wav,27.21,0.0,30.0,madmom
0003_6foot7foot.wav,27.57,0.0,30.0,madmom
0003_6foot7foot.wav,27.93,0.0,30.0,madmom
0003_6foot7foot.wav,28.29,0.0,30.0,madmom
0003_6foot7foot.wav,28.64,0.0,30.0,madmom
0003_6foot7foot.wav,28.99,0.0,30.0,madmom
0003_6foot7foot.wav,29.35,0.0,30.0,madmom
0003_6foot7foot.wav,29.71,0.0,30.0,madmom
0004_abc.wav,0.25,0.0,30.0,madmom
0004_abc.wav,0.62,0.0,30.0,madmom
0004_abc.wav,1.0,0.0,30.0,madmom
0004_abc.wav,1.35,0.0,30.0,madmom
0004_abc.wav,1.72,0.0,30.0,madmom
0004_abc.wav,2.09,0.0,30.0,madmom
0004_abc.wav,2.47,0.0,30.0,madmom
0004_abc.wav,2.85,0.0,30.0,madmom
0004_abc.wav,3.21,0.0,30.0,madmom
0004_abc.wav,3.53,0.0,30.0,madmom
0004_abc.wav,3.86,0.0,30.0,madmom
0004_abc.wav,4.16,0.0,30.0,madmom
0004_abc.wav,4.48,0.0,30.0,madmom
0004_abc.wav,4.78,0.0,30.0,madmom
0004_abc.wav,5.1,0.0,30.0,madmom
0004_abc.wav,5.41,0.0,30.0,madmom
0004_abc.wav,5.71,0.0,30.0,madmom
0004_abc.wav,6.03,0.0,30.0,madmom
0004_abc.wav,6.33,0.0,30.0,madmom
0004_abc.wav,6.64,0.0,30.0,madmom
0004_abc.wav,6.97,0.0,30.0,madmom
0004_abc.wav,7.29,0.0,30.0,madmom
0004_abc.wav,7.6,0.0,30.0,madmom
0004_abc.wav,7.92,0.0,30.0,madmom
0004_abc.wav,8.25,0.0,30.0,madmom
0004_abc.wav,8.57,0.0,30.0,madmom
0004_abc.wav,8.89,0.0,30.0,madmom
0004_abc.wav,9.21,0.0,30.0,madmom
0004_abc.wav,9.52,0.0,30.0,madmom
0004_abc.wav,9.85,0.0,30.0,madmom
0004_abc.wav,10.16,0.0,30.0,madmom
0004_abc.wav,10.48,0.0,30.0,madmom
0004_abc.wav,10.81,0.0,30.0,madmom
