wav,beat_time_s,window_start,window_end,algorithm
0001_12step.wav,0.26,0.0,30.0,beat_this
0001_12step.wav,0.78,0.0,30.0,beat_this
0001_12step.wav,1.32,0.0,30.0,beat_this
0001_12step.wav,1.84,0.0,30.0,beat_this
0001_12step.wav,2.38,0.0,30.0,beat_this
0001_12step.wav,2.9,0.0,30.0,beat_this
0001_12step.wav,3.42,0.0,30.0,beat_this
0001_12step.wav,3.94,0.0,30.0,beat_this
0001_12step.wav,4.5,0.0,30.0,beat_this
0001_12step.wav,5.02,0.0,30.0,beat_this
0001_12step.wav,5.56,0.0,30.0,beat_this
0001_12step.wav,6.08,0.0,30.0,beat_this
0001_12step.wav,6.62,0.0,30.0,beat_this
0001_12step.wav,7.14,0.0,30.0,beat_this
0001_12step.wav,7.68,0.0,30.0,beat_this
0001_12step.wav,8.22,0.0,30.0,beat_this
0001_12step.wav,8.74,0.0,30.0,beat_this
0001_12step.wav,9.26,0.0,30.0,beat_this
0001_12step.wav,9.8,0.0,30.0,beat_this
0001_12step.wav,10.34,0.0,30.0,beat_this
0001_12step.wav,10.86,0.0,30.0,beat_this
0001_12step.wav,11.38,0.0,30.0,beat_this
0001_12step.wav,11.92,0.0,30.0,beat_this
0001_12step.wav,12.46,0.0,30.0,beat_this
0001_12step.wav,13.0,0.0,30.0,beat_this
0001_12step.wav,13.52,0.0,30.0,beat_this
0001_12step.wav,14.06,0.0,30.0,beat_this
0001_12step.wav,14.58,0.0,30.0,beat_this
0001_12step.wav,15.12,0.0,30.0,beat_this
0001_12step.wav,15.64,0.0,30.0,beat_this
0001_12step.wav,16.18,0.0,30.0,beat_this
0001_12step.wav,16.72,0.0,30.0,beat_this
0001_12step.wav,17.26,0.0,30.0,beat_this
0001_12step.wav,17.78,0.0,30.0,beat_this
0001_12step.wav,18.32,0.0,30.0,beat_this
0001_12step.wav,18.82,0.0,30.0,beat_this
0001_12step.wav,19.38,0.0,30.0,beat_this
0001_12step.wav,19.9,0.0,30.0,beat_this
0001_12step.wav,20.44,0.0,30.0,beat_this
0001_12step.wav,20.94,0.0,30.0,beat_this
0001_12step.wav,21.5,0.0,30.0,beat_this
0001_12step.wav,22.02,0.0,30.0,beat_this
0001_12step.wav,22.56,0.0,30.0,beat_this
0001_12step.wav,23.08,0.0,30.0,beat_this
0001_12step.wav,23.62,0.0,30.0,beat_this
0001_12step.wav,24.14,0.0,30.0,beat_this
0001_12step.wav,24.68,0.0,30.0,beat_this
0001_12step.wav,25.2,0.0,30.0,beat_this
0001_12step.wav,25.74,0.0,30.0,beat_this
0001_12step.wav,26.26,0.0,30.0,beat_this
0001_12step.wav,26.8,0.0,30.0,beat_this
0001_12step.wav,27.32,0.0,30.0,beat_this
0001_12step.wav,27.86,0.0,30.0,beat_this
0001_12step.wav,28.38,0.0,30.0,beat_this
0001_12step.wav,28.92,0.0,30.0,beat_this
0001_12step.wav,29.44,0.0,30.0,beat_this
0001_12step.wav,29.98,0.0,30.0,beat_this
0003_6foot7foot.wav,0.44,0.0,30.0,beat_this
0003_6foot7foot.wav,1.14,0.0,30.0,beat_this
0003_6foot7foot.wav,1.88,0.0,30.0,beat_this
0003_6foot7foot.wav,2.58,0.0,30.0,beat_this
0003_6foot7foot.wav,3.3,0.0,30.0,beat_this
0003_6foot7foot.wav,3.96,0.0,30.0,beat_this
0003_6foot7foot.wav,4.68,0.0,30.0,beat_this
0003_6foot7foot.wav,5.4,0.0,30.0,beat_this
0003_6foot7foot.wav,6.1,0.0,30.0,beat_this
0003_6foot7foot.wav,6.82,0.0,30.0,beat_this
0003_6foot7foot.wav,7.56,0.0,30.0,beat_this
0003_6foot7foot.wav,8.26,0.0,30.0,beat_this
0003_6foot7foot.wav,8.98,0.0,30.0,beat_this
0003_6foot7foot.wav,9.68,0.0,30.0,beat_this
0003_6foot7foot.wav,10.4,0.0,30.0,beat_this
0003_6foot7foot.wav,11.12,0.0,30.0,beat_this
0003_6foot7foot.wav,11.84,0.0,30.0,beat_this
0003_6foot7foot.wav,12.54,0.0,30.0,beat_this
0003_6foot7foot.wav,13.26,0.0,30.0,beat_this
0003_6foot7foot.wav,13.98,0.0,30.0,beat_this
0003_6foot7foot.wav,14.7,0.0,30.0,beat_this
0003_6foot7foot.wav,15.42,0.0,30.0,beat_this
0003_6foot7foot.wav,16.12,0.0,30.0,beat_this
0003_6foot7foot.wav,16.84,0.0,30.0,beat_this
0003_6foot7foot.wav,17.56,0.0,30.0,beat_this
0003_6foot7foot.wav,18.28,0.0,30.0,beat_this
0003_6foot7foot.wav,18.98,0.0,30.0,beat_this
0003_6foot7foot.wav,19.68,0.0,30.0,beat_this
0003_6foot7foot.wav,20.42,0.0,30.0,beat_this
0003_6foot7foot.wav,21.12,0.0,30.0,beat_this
0003_6foot7foot.wav,21.86,0.0,30.0,beat_this
0003_6foot7foot.wav,22.56,0.0,30.0,beat_this
0003_6foot7foot.wav,23.28,0.0,30.0,beat_this
0003_6foot7foot.wav,23.98,0.0,30.0,beat_this
0003_6foot7foot.wav,24.72,0.0,30.0,beat_this
0003_6foot7foot.wav,25.42,0.0,30.0,beat_this
0003_6foot7foot.wav,26.14,0.0,30.0,beat_this
0003_6foot7foot.wav,26.86,0.0,30.0,beat_this
0003_6foot7foot.wav,27.58,0.0,30.0,beat_this
0003_6foot7foot.wav,28.28,0.0,30.0,beat_this
0003_6foot7foot.wav,29.0,0.0,30.0,beat_this
0003_6foot7foot.wav,29.7,0.0,30.0,beat_this
0004_abc.wav,10.5,0.0,30.0,beat_this
0004_abc.wav,11.14,0.0,30.0,beat_this
0004_abc.wav,11.8,0.0,30.0,beat_this
0004_abc.wav,12.48,0.0,30.0,beat_this
0004_abc.wav,13.14,0.0,30.0,beat_this
0004_abc.wav,13.8,0.0,30.0,beat_this
0004_abc.wav,14.46,0.0,30.0,beat_this
