wav,beat_time_s,window_start,window_end,algorithm
-15MmJrqU38.wav,0.31,0.0,30.0,madmom
-15MmJrqU38.wav,0.88,0.0,30.0,madmom
-15MmJrqU38.wav,1.46,0.0,30.0,madmom
-15MmJrqU38.wav,2.03,0.0,30.0,madmom
-15MmJrqU38.wav,2.64,0.0,30.0,madmom
-15MmJrqU38.wav,3.21,0.0,30.0,madmom
-15MmJrqU38.wav,3.82,0.0,30.0,madmom
-15MmJrqU38.wav,4.38,0.0,30.0,madmom
-15MmJrqU38.wav,4.96,0.0,30.0,madmom
-15MmJrqU38.wav,5.55,0.0,30.0,madmom
-15MmJrqU38.wav,6.12,0.0,30.0,madmom
-15MmJrqU38.wav,6.71,0.0,30.0,madmom
-15MmJrqU38.wav,7.3,0.0,30.0,madmom
-15MmJrqU38.wav,7.86,0.0,30.0,madmom
-15MmJrqU38.wav,8.45,0.0,30.0,madmom
-15MmJrqU38.wav,9.06,0.0,30.0,madmom
-15MmJrqU38.wav,9.63,0.0,30.0,madmom
-15MmJrqU38.wav,10.2,0.0,30.0,madmom
-15MmJrqU38.wav,10.78,0.0,30.0,madmom
-15MmJrqU38.wav,11.38,0.0,30.0,madmom
-15MmJrqU38.wav,11.95,0.0,30.0,madmom
-15MmJrqU38.wav,12.53,0.0,30.0,madmom
-15MmJrqU38.wav,13.11,0.0,30.0,madmom
-15MmJrqU38.wav,13.69,0.0,30.0,madmom
-15MmJrqU38.wav,14.28,0.0,30.0,madmom
-15MmJrqU38.wav,14.86,0.0,30.0,madmom
-15MmJrqU38.wav,15.44,0.0,30.0,madmom
-15MmJrqU38.wav,16.03,0.0,30.0,madmom
-15MmJrqU38.wav,16.62,0.0,30.0,madmom
-15MmJrqU38.wav,17.19,0.0,30.0,madmom
-15MmJrqU38.wav,17.77,0.0,30.0,madmom
-15MmJrqU38.wav,18.38,0.0,30.0,madmom
-15MmJrqU38.wav,18.95,0.0,30.0,madmom
-15MmJrqU38.wav,19.52,0.0,30.0,madmom
-15MmJrqU38.wav,20.1,0.0,30.0,madmom
-15MmJrqU38.wav,20.7,0.0,30.0,madmom
-15MmJrqU38.wav,21.26,0.0,30.0,madmom
-15MmJrqU38.wav,21.85,0.0,30.0,madmom
-15MmJrqU38.wav,22.43,0.0,30.0,madmom
-15MmJrqU38.wav,23.01,0.0,30.0,madmom
-15MmJrqU38.wav,23.6,0.0,30.0,madmom
-15MmJrqU38.wav,24.18,0.0,30.0,madmom
-15MmJrqU38.wav,24.76,0.0,30.0,madmom
