wav,beat_time_s,window_start,window_end,algorithm
-15MmJrqU38.wav,0.3,0.0,30.0,beat_this
-15MmJrqU38.wav,0.88,0.0,30.0,beat_this
-15MmJrqU38.wav,1.46,0.0,30.0,beat_this
-15MmJrqU38.wav,2.04,0.0,30.0,beat_this
-15MmJrqU38.wav,2.62,0.0,30.0,beat_this
-15MmJrqU38.wav,3.2,0.0,30.0,beat_this
-15MmJrqU38.wav,3.78,0.0,30.0,beat_this
-15MmJrqU38.wav,4.38,0.0,30.0,beat_this
-15MmJrqU38.wav,4.96,0.0,30.0,beat_this
-15MmJrqU38.wav,5.54,0.0,30.0,beat_this
-15MmJrqU38.wav,6.12,0.0,30.0,beat_this
-15MmJrqU38.wav,6.72,0.0,30.0,beat_this
-15MmJrqU38.wav,7.28,0.0,30.0,beat_this
-15MmJrqU38.wav,7.86,0.0,30.0,beat_this
-15MmJrqU38.wav,8.46,0.0,30.0,beat_this
-15MmJrqU38.wav,9.04,0.0,30.0,beat_this
-15MmJrqU38.wav,9.62,0.0,30.0,beat_this
-15MmJrqU38.wav,10.2,0.0,30.0,beat_this
-15MmJrqU38.wav,10.78,0.0,30.0,beat_this
-15MmJrqU38.wav,11.38,0.0,30.0,beat_this
-15MmJrqU38.wav,11.94,0.0,30.0,beat_this
-15MmJrqU38.wav,12.52,0.0,30.0,beat_this
-15MmJrqU38.wav,13.1,0.0,30.0,beat_this
-15MmJrqU38.wav,13.7,0.0,30.0,beat_this
-15MmJrqU38.wav,14.28,0.0,30.0,beat_this
-15MmJrqU38.wav,14.86,0.0,30.0,beat_this
-15MmJrqU38.wav,15.44,0.0,30.0,beat_this
-15MmJrqU38.wav,16.04,0.0,30.0,beat_this
-15MmJrqU38.wav,16.62,0.0,30.0,beat_this
-15MmJrqU38.wav,17.18,0.0,30.0,beat_this
-15MmJrqU38.wav,17.78,0.0,30.0,beat_this
-15MmJrqU38.wav,18.36,0.0,30.0,beat_this
-15MmJrqU38.wav,18.96,0.0,30.0,beat_this
-15MmJrqU38.wav,19.52,0.0,30.0,beat_this
-15MmJrqU38.wav,20.1,0.0,30.0,beat_this
-15MmJrqU38.wav,20.68,0.0,30.0,beat_this
-15MmJrqU38.wav,21.26,0.0,30.0,beat_this
-15MmJrqU38.wav,21.84,0.0,30.0,beat_this
-15MmJrqU38.wav,22.44,0.0,30.0,beat_this
-15MmJrqU38.wav,23.02,0.0,30.0,beat_this
-15MmJrqU38.wav,23.6,0.0,30.0,beat_this
-15MmJrqU38.wav,24.18,0.0,30.0,beat_this
-15MmJrqU38.wav,24.76,0.0,30.0,beat_this
-15MmJrqU38.wav,25.36,0.0,30.0,beat_this
-15MmJrqU38.wav,25.94,0.0,30.0,beat_this
-15MmJrqU38.wav,26.5,0.0,30.0,beat_this
-15MmJrqU38.wav,27.08,0.0,30.0,beat_this
-15MmJrqU38.wav,27.68,0.0,30.0,beat_this
-15MmJrqU38.wav,28.26,0.0,30.0,beat_this
-15MmJrqU38.wav,28.84,0.0,30.0,beat_this
-15MmJrqU38.wav,29.42,0.0,30.0,beat_this
-15MmJrqU38.wav,30.0,0.0,30.0,beat_this
-4sq1sUI7-I.wav,0.08,0.0,30.0,beat_this
-4sq1sUI7-I.wav,0.88,0.0,30.0,beat_this
-4sq1sUI7-I.wav,1.68,0.0,30.0,beat_this
-4sq1sUI7-I.wav,2.5,0.0,30.0,beat_this
-4sq1sUI7-I.wav,3.3,0.0,30.0,beat_this
-4sq1sUI7-I.wav,4.12,0.0,30.0,beat_this
-4sq1sUI7-I.wav,4.9,0.0,30.0,beat_this
-4sq1sUI7-I.wav,5.72,0.0,30.0,beat_this
-4sq1sUI7-I.wav,6.54,0.0,30.0,beat_this
-4sq1sUI7-I.wav,7.36,0.0,30.0,beat_this
-4sq1sUI7-I.wav,8.16,0.0,30.0,beat_this
-4sq1sUI7-I.wav,8.98,0.0,30.0,beat_this
-4sq1sUI7-I.wav,9.8,0.0,30.0,beat_this
-4sq1sUI7-I.wav,10.62,0.0,30.0,beat_this
-4sq1sUI7-I.wav,11.4,0.0,30.0,beat_this
-4sq1sUI7-I.wav,12.22,0.0,30.0,beat_this
-4sq1sUI7-I.wav,13.04,0.0,30.0,beat_this
-4sq1sUI7-I.wav,13.86,0.0,30.0,beat_this
-4sq1sUI7-I.wav,14.66,0.0,30.0,beat_this
-4sq1sUI7-I.wav,15.48,0.0,30.0,beat_this
-4sq1sUI7-I.wav,16.26,0.0,30.0,beat_this
-4sq1sUI7-I.wav,17.08,0.0,30.0,beat_this
-4sq1sUI7-I.wav,17.9,0.0,30.0,beat_this
-4sq1sUI7-I.wav,18.72,0.0,30.0,beat_this
-4sq1sUI7-I.wav,19.52,0.0,30.0,beat_this
-4sq1sUI7-I.wav,20.34,0.0,30.0,beat_this
-4sq1sUI7-I.wav,21.14,0.0,30.0,beat_this
-4sq1sUI7-I.wav,21.96,0.0,30.0,beat_this
-4sq1sUI7-I.wav,22.76,0.0,30.0,beat_this
-4sq1sUI7-I.wav,23.58,0.0,30.0,beat_this
-4sq1sUI7-I.wav,24.38,0.0,30.0,beat_this
-4sq1sUI7-I.wav,25.2,0.0,30.0,beat_this
-4sq1sUI7-I.wav,26.0,0.0,30.0,beat_this
-4sq1sUI7-I.wav,26.82,0.0,30.0,beat_this
-4sq1sUI7-I.wav,27.64,0.0,30.0,beat_this
-4sq1sUI7-I.wav,28.44,0.0,30.0,beat_this
-4sq1sUI7-I.wav,29.24,0.0,30.0,beat_this
-E5lmFh_0x0.wav,0.78,0.0,30.0,beat_this
-E5lmFh_0x0.wav,1.6,0.0,30.0,beat_this
-E5lmFh_0x0.wav,2.46,0.0,30.0,beat_this
-E5lmFh_0x0.wav,3.3,0.0,30.0,beat_this
-E5lmFh_0x0.wav,4.14,0.0,30.0,beat_this
-E5lmFh_0x0.wav,4.96,0.0,30.0,beat_this
-E5lmFh_0x0.wav,5.8,0.0,30.0,beat_this
-E5lmFh_0x0.wav,6.62,0.0,30.0,beat_this
-E5lmFh_0x0.wav,7.44,0.0,30.0,beat_this
-E5lmFh_0x0.wav,8.28,0.0,30.0,beat_this
-E5lmFh_0x0.wav,9.1,0.0,30.0,beat_this
-E5lmFh_0x0.wav,9.96,0.0,30.0,beat_this
-E5lmFh_0x0.wav,10.8,0.0,30.0,beat_this
-E5lmFh_0x0.wav,11.64,0.0,30.0,beat_this
-E5lmFh_0x0.wav,12.48,0.0,30.0,beat_this
-E5lmFh_0x0.wav,13.3,0.0,30.0,beat_this
-E5lmFh_0x0.wav,14.1,0.0,30.0,beat_this
-E5lmFh_0x0.wav,14.96,0.0,30.0,beat_this
-E5lmFh_0x0.wav,15.78,0.0,30.0,beat_this
-E5lmFh_0x0.wav,16.6,0.0,30.0,beat_this
-E5lmFh_0x0.wav,17.44,0.0,30.0,beat_this
-E5lmFh_0x0.wav,18.28,0.0,30.0,beat_this
-E5lmFh_0x0.wav,19.12,0.0,30.0,beat_this
-E5lmFh_0x0.wav,19.96,0.0,30.0,beat_this
-E5lmFh_0x0.wav,20.78,0.0,30.0,beat_this
-E5lmFh_0x0.wav,21.64,0.0,30.0,beat_this
-E5lmFh_0x0.wav,22.46,0.0,30.0,beat_this
-E5lmFh_0x0.wav,23.3,0.0,30.0,beat_this
-E5lmFh_0x0.wav,24.12,0.0,30.0,beat_this
-E5lmFh_0x0.wav,24.94,0.0,30.0,beat_this
-E5lmFh_0x0.wav,25.8,0.0,30.0,beat_this
-E5lmFh_0x0.wav,26.62,0.0,30.0,beat_this
-E5lmFh_0x0.wav,27.46,0.0,30.0,beat_this
-E5lmFh_0x0.wav,28.3,0.0,30.0,beat_this
