stimulus_id,peak_index,peak_time_s,window_t0,window_t1,kw_ms,kde_dt,peak_prominence,peak_distance_s,peak_width_s,cleaning
-15MmJrqU38,0,1.48,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,1,2.095,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,2,2.67,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,3,3.215,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,4,3.805,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,5,4.385,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,6,4.995,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,7,5.575,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,8,6.17,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,9,6.715,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,10,7.2700000000000005,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,11,7.87,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,12,8.46,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,13,9.035,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,14,9.63,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,15,10.195,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,16,10.78,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,17,11.370000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,18,11.955,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,19,12.525,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,20,13.11,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,21,13.675,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,22,14.285,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,23,14.875,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,24,15.450000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,25,16.035,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,26,16.625,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,27,17.175,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,28,17.785,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,29,18.35,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,30,18.955000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,31,19.525000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,32,20.12,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,33,20.68,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,34,21.285,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,35,21.845,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,36,22.44,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,37,23.01,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,38,23.605,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,39,24.19,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,40,24.765,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,41,25.35,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,42,25.935000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,43,26.51,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,44,27.105,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,45,27.665,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,46,28.26,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,47,28.835,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-15MmJrqU38,48,29.42,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,0,0.78,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,1,1.71,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,2,2.5500000000000003,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,3,3.295,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,4,4.12,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,5,4.955,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,6,5.765,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,7,6.58,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,8,7.365,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,9,8.19,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,10,8.935,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,11,9.785,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,12,10.61,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,13,11.44,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,14,12.245000000000001,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,15,13.045,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,16,13.84,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,17,14.67,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,18,15.48,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,19,16.275,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,20,17.07,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,21,17.865000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,22,18.685,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,23,19.5,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,24,20.305,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,25,20.72,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,26,21.125,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,27,21.53,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,28,21.94,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,29,22.75,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,30,23.55,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,31,23.975,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,32,24.375,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
-4sq1sUI7-I,33,25.185000000000002,0.0,30.0,80.0,0.005,0.1,0.15,0.0,mad_only
