stem_id,corpus,has_reference,audio_source
Bach_Fugue_bwv_846_Shi05M,asap,True,upstream::asap
Beethoven_Piano_Sonatas_16-1_Khmara05M,asap,True,upstream::asap
Chopin_Etudes_op_10_1_ChenW03M,asap,True,upstream::asap
Debussy_Images_Book_1_1_Reflets_dans_lEau_ParkJH13M,asap,True,upstream::asap
Haydn_Keyboard_Sonatas_50-1_no_repeat_GalantM02M,asap,True,upstream::asap
Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M,asap,True,upstream::asap
Mozart_Piano_Sonatas_12-3_MunA05M,asap,True,upstream::asap
Schubert_Piano_Sonatas_894-2_Yeletskiy08M,asap,True,upstream::asap
Albums-AnaBelen_Veneo-13,ballroom,True,upstream::ballroom
Albums-Ballroom_Classics4-01,ballroom,True,upstream::ballroom
Albums-Cafe_Paradiso-09,ballroom,True,upstream::ballroom
Albums-GloriaEstefan_MiTierra-04,ballroom,True,upstream::ballroom
Albums-GloriaEstefan_MiTierra-06,ballroom,True,upstream::ballroom
Albums-Latino_Latino-10,ballroom,True,upstream::ballroom
Media-103401,ballroom,True,upstream::ballroom
Media-103413,ballroom,True,upstream::ballroom
Media-103501,ballroom,True,upstream::ballroom
Media-103507,ballroom,True,upstream::ballroom
Media-103511,ballroom,True,upstream::ballroom
Media-103512,ballroom,True,upstream::ballroom
Media-103515,ballroom,True,upstream::ballroom
Media-103516,ballroom,True,upstream::ballroom
Media-103517,ballroom,True,upstream::ballroom
Media-103601,ballroom,True,upstream::ballroom
Media-103605,ballroom,True,upstream::ballroom
Media-103606,ballroom,True,upstream::ballroom
Media-103608,ballroom,True,upstream::ballroom
Media-103611,ballroom,True,upstream::ballroom
Media-103707,ballroom,True,upstream::ballroom
Media-103709,ballroom,True,upstream::ballroom
Media-104501,ballroom,True,upstream::ballroom
Media-104502,ballroom,True,upstream::ballroom
Media-104506,ballroom,True,upstream::ballroom
Media-104507,ballroom,True,upstream::ballroom
Media-104508,ballroom,True,upstream::ballroom
Media-104514,ballroom,True,upstream::ballroom
Media-104516,ballroom,True,upstream::ballroom
Media-104601,ballroom,True,upstream::ballroom
Media-104605,ballroom,True,upstream::ballroom
Media-104606,ballroom,True,upstream::ballroom
Media-104607,ballroom,True,upstream::ballroom
Media-104615,ballroom,True,upstream::ballroom
Media-104706,ballroom,True,upstream::ballroom
Media-104711,ballroom,True,upstream::ballroom
Media-104716,ballroom,True,upstream::ballroom
Media-105611,ballroom,True,upstream::ballroom
Media-105612,ballroom,True,upstream::ballroom
Media-106009,ballroom,True,upstream::ballroom
Albums-Chrisanne2-12,ballroom_heldout,True,upstream::ballroom_heldout
Albums-Chrisanne3-09,ballroom_heldout,True,upstream::ballroom_heldout
Albums-GloriaEstefan_MiTierra-11,ballroom_heldout,True,upstream::ballroom_heldout
Albums-Latin_Jam-04,ballroom_heldout,True,upstream::ballroom_heldout
Albums-Latin_Jam4-08,ballroom_heldout,True,upstream::ballroom_heldout
Albums-Macumba-07,ballroom_heldout,True,upstream::ballroom_heldout
Albums-Step_By_Step-03,ballroom_heldout,True,upstream::ballroom_heldout
Albums-StrictlyDancing_Tango-09,ballroom_heldout,True,upstream::ballroom_heldout
Media-100616,ballroom_heldout,True,upstream::ballroom_heldout
Media-103410,ballroom_heldout,True,upstream::ballroom_heldout
Media-103412,ballroom_heldout,True,upstream::ballroom_heldout
Media-103704,ballroom_heldout,True,upstream::ballroom_heldout
Media-103705,ballroom_heldout,True,upstream::ballroom_heldout
