stem,algorithm,metric,value,n_crowd_beats,n_algorithm_beats
-15MmJrqU38,madmom,F-measure,1.0,26,26
-15MmJrqU38,madmom,Cemgil,0.9771489957217863,26,26
-15MmJrqU38,madmom,Cemgil Best Metric Level,0.9771489957217863,26,26
-15MmJrqU38,madmom,Goto,1.0,26,26
-15MmJrqU38,madmom,P-score,1.0,26,26
-15MmJrqU38,madmom,Correct Metric Level Continuous,1.0,26,26
-15MmJrqU38,madmom,Correct Metric Level Total,1.0,26,26
-15MmJrqU38,madmom,Any Metric Level Continuous,1.0,26,26
-15MmJrqU38,madmom,Any Metric Level Total,1.0,26,26
-15MmJrqU38,madmom,Information gain,0.7471951789826387,26,26
-15MmJrqU38,beat_this,F-measure,1.0,26,26
-15MmJrqU38,beat_this,Cemgil,0.976175681555178,26,26
-15MmJrqU38,beat_this,Cemgil Best Metric Level,0.976175681555178,26,26
-15MmJrqU38,beat_this,Goto,1.0,26,26
-15MmJrqU38,beat_this,P-score,1.0,26,26
-15MmJrqU38,beat_this,Correct Metric Level Continuous,1.0,26,26
-15MmJrqU38,beat_this,Correct Metric Level Total,1.0,26,26
-15MmJrqU38,beat_this,Any Metric Level Continuous,1.0,26,26
-15MmJrqU38,beat_this,Any Metric Level Total,1.0,26,26
-15MmJrqU38,beat_this,Information gain,0.7442556771550601,26,26
-4sq1sUI7-I,madmom,F-measure,0.6545454545454547,18,37
-4sq1sUI7-I,madmom,Cemgil,0.5996068012506521,18,37
-4sq1sUI7-I,madmom,Cemgil Best Metric Level,0.8983364808297938,18,37
-4sq1sUI7-I,madmom,Goto,0.0,18,37
-4sq1sUI7-I,madmom,P-score,0.4864864864864865,18,37
-4sq1sUI7-I,madmom,Correct Metric Level Continuous,0.0,18,37
-4sq1sUI7-I,madmom,Correct Metric Level Total,0.0,18,37
-4sq1sUI7-I,madmom,Any Metric Level Continuous,0.9459459459459459,18,37
-4sq1sUI7-I,madmom,Any Metric Level Total,0.9459459459459459,18,37
-4sq1sUI7-I,madmom,Information gain,0.6235452882159492,18,37
-4sq1sUI7-I,beat_this,F-measure,1.0,18,18
-4sq1sUI7-I,beat_this,Cemgil,0.9167102198808672,18,18
-4sq1sUI7-I,beat_this,Cemgil Best Metric Level,0.9167102198808672,18,18
-4sq1sUI7-I,beat_this,Goto,1.0,18,18
-4sq1sUI7-I,beat_this,P-score,1.0,18,18
-4sq1sUI7-I,beat_this,Correct Metric Level Continuous,1.0,18,18
-4sq1sUI7-I,beat_this,Correct Metric Level Total,1.0,18,18
-4sq1sUI7-I,beat_this,Any Metric Level Continuous,1.0,18,18
-4sq1sUI7-I,beat_this,Any Metric Level Total,1.0,18,18
-4sq1sUI7-I,beat_this,Information gain,0.735836637925835,18,18
-E5lmFh_0x0,madmom,F-measure,0.9444444444444444,18,18
-E5lmFh_0x0,madmom,Cemgil,0.6158255553524031,18,18
-E5lmFh_0x0,madmom,Cemgil Best Metric Level,0.6158255553524031,18,18
-E5lmFh_0x0,madmom,Goto,1.0,18,18
-E5lmFh_0x0,madmom,P-score,1.0,18,18
-E5lmFh_0x0,madmom,Correct Metric Level Continuous,1.0,18,18
-E5lmFh_0x0,madmom,Correct Metric Level Total,1.0,18,18
-E5lmFh_0x0,madmom,Any Metric Level Continuous,1.0,18,18
-E5lmFh_0x0,madmom,Any Metric Level Total,1.0,18,18
-E5lmFh_0x0,madmom,Information gain,0.59772270488429,18,18
-E5lmFh_0x0,beat_this,F-measure,0.8888888888888888,18,18
-E5lmFh_0x0,beat_this,Cemgil,0.49692278117317756,18,18
-E5lmFh_0x0,beat_this,Cemgil Best Metric Level,0.49692278117317756,18,18
-E5lmFh_0x0,beat_this,Goto,1.0,18,18
-E5lmFh_0x0,beat_this,P-score,1.0,18,18
-E5lmFh_0x0,beat_this,Correct Metric Level Continuous,1.0,18,18
-E5lmFh_0x0,beat_this,Correct Metric Level Total,1.0,18,18
-E5lmFh_0x0,beat_this,Any Metric Level Continuous,1.0,18,18
-E5lmFh_0x0,beat_this,Any Metric Level Total,1.0,18,18
-E5lmFh_0x0,beat_this,Information gain,0.6158834652361519,18,18
-Gvgb3K5iOE,madmom,F-measure,1.0,25,25
-Gvgb3K5iOE,madmom,Cemgil,0.9786296883613087,25,25
-Gvgb3K5iOE,madmom,Cemgil Best Metric Level,0.9786296883613087,25,25
-Gvgb3K5iOE,madmom,Goto,1.0,25,25
-Gvgb3K5iOE,madmom,P-score,1.0,25,25
-Gvgb3K5iOE,madmom,Correct Metric Level Continuous,1.0,25,25
-Gvgb3K5iOE,madmom,Correct Metric Level Total,1.0,25,25
-Gvgb3K5iOE,madmom,Any Metric Level Continuous,1.0,25,25
-Gvgb3K5iOE,madmom,Any Metric Level Total,1.0,25,25
-Gvgb3K5iOE,madmom,Information gain,0.8187697303511506,25,25
-Gvgb3K5iOE,beat_this,F-measure,1.0,25,25
-Gvgb3K5iOE,beat_this,Cemgil,0.7886220691740496,25,25
-Gvgb3K5iOE,beat_this,Cemgil Best Metric Level,0.7886220691740496,25,25
-Gvgb3K5iOE,beat_this,Goto,1.0,25,25
-Gvgb3K5iOE,beat_this,P-score,1.0,25,25
-Gvgb3K5iOE,beat_this,Correct Metric Level Continuous,1.0,25,25
-Gvgb3K5iOE,beat_this,Correct Metric Level Total,1.0,25,25
-Gvgb3K5iOE,beat_this,Any Metric Level Continuous,1.0,25,25
-Gvgb3K5iOE,beat_this,Any Metric Level Total,1.0,25,25
-Gvgb3K5iOE,beat_this,Information gain,0.9100000914995047,25,25
-rT_0DJQygY,madmom,F-measure,1.0,44,44
-rT_0DJQygY,madmom,Cemgil,0.9171506319316669,44,44
-rT_0DJQygY,madmom,Cemgil Best Metric Level,0.9171506319316669,44,44
-rT_0DJQygY,madmom,Goto,1.0,44,44
-rT_0DJQygY,madmom,P-score,1.0,44,44
-rT_0DJQygY,madmom,Correct Metric Level Continuous,1.0,44,44
-rT_0DJQygY,madmom,Correct Metric Level Total,1.0,44,44
-rT_0DJQygY,madmom,Any Metric Level Continuous,1.0,44,44
-rT_0DJQygY,madmom,Any Metric Level Total,1.0,44,44
-rT_0DJQygY,madmom,Information gain,0.6261220424874534,44,44
