comparison,n_tappers,n_stems,mean_density_r,median_density_r,mean_density_r_ci_low,mean_density_r_ci_high,mean_peak_f_measure,median_peak_f_measure,mean_peak_f_measure_ci_low,mean_peak_f_measure_ci_high,mean_median_abs_peak_offset_ms,median_median_abs_peak_offset_ms,mean_median_abs_peak_offset_ms_ci_low,mean_median_abs_peak_offset_ms_ci_high
independent_n_vs_n,5,200,0.3893268575028506,0.4250027962008306,0.36385464810231816,0.4132087749539333,0.6044509388898373,0.623856839179002,0.5817319423768335,0.628528237918795,25.153958488968623,24.76249999999998,24.62421073568129,25.69209945236569
independent_n_vs_n,10,200,0.5301959148140503,0.5954699089189621,0.5014544346629405,0.5583996747803806,0.7229905109026287,0.7723606387077193,0.6971492038787894,0.7470531755713471,21.044854823747745,19.89999999999997,20.37340484049689,21.690153514739308
independent_n_vs_n,15,200,0.6150486313138476,0.6849957293637262,0.5853589270613896,0.6422567735765057,0.7794262332278534,0.8226812322919467,0.7534963665616421,0.8035438377811324,18.329092254599537,17.375000000000107,17.607621813940852,19.051347334379027
independent_n_vs_n,20,200,0.6713099467883472,0.7512098102872549,0.6425893937305353,0.6987647893502723,0.8127128727464549,0.8546817341264868,0.7884849848412883,0.836227434970603,16.585170745164795,15.05000000000011,15.851645204059182,17.33487854757347
independent_n_vs_n,30,200,0.7404189449385065,0.8230487248118541,0.712051881218739,0.7670304898194811,0.8463351978186318,0.9017827204665319,0.8214168599741424,0.8683307206427726,14.226385416666801,12.650000000000151,13.488720257260226,14.999636979166807
independent_n_vs_n,40,200,0.7829884611582385,0.861866299090535,0.7538499614408042,0.8083259875177549,0.866361995782376,0.9066842045644118,0.8436909550369773,0.8872362715015784,12.655288983585999,10.975000000000229,11.922938983585993,13.439979296875142
independent_n_vs_n,50,200,0.8135849803473494,0.8884899544852581,0.7878661630891285,0.837426024130159,0.8804345302279418,0.933970393791158,0.8578059801924373,0.9014460347912943,11.537808410477737,9.812499999999593,10.826230476804271,12.38042888110155
subsample_vs_full,5,200,0.6265520296619725,0.6680558458529222,0.6055862202116313,0.6468701723635831,0.7462715584401036,0.7774779972019017,0.7263040471407788,0.7648606331588966,18.793787247890446,17.912500000000087,18.228956013766805,19.360831220470924
subsample_vs_full,10,200,0.7393633591744232,0.7872568103665113,0.719479031339103,0.758974093865716,0.8249978115565675,0.8612955716221435,0.8047155526098582,0.8441483273413803,14.929603219697093,13.550000000000036,14.280175236742565,15.551459090909207
subsample_vs_full,15,200,0.8046041420307424,0.8534900555352812,0.7860373043842765,0.8221101822816818,0.8635117769869923,0.9024592592181845,0.8455933744270374,0.8816072626305664,12.613236111111242,11.337500000000054,12.024195833333467,13.26357275883851
subsample_vs_full,20,200,0.8425847558342948,0.890464079943324,0.8260162081810685,0.8583483729396688,0.8826239706550685,0.9187765413867298,0.8654452996303169,0.8987062152316839,11.026094696969835,9.737500000000075,10.462771875000145,11.661732386363777
subsample_vs_full,30,200,0.8920141884114784,0.9297834778872125,0.8785453019253688,0.9043621055720877,0.9093388741713108,0.9434562298568439,0.8945581932824062,0.9233122220781126,8.84810606060616,7.512499999999829,8.295952651515242,9.426996212121306
subsample_vs_full,40,200,0.9218870374414695,0.9540959119518719,0.9115690114752115,0.9318771131823737,0.9258190847145881,0.9550473715059318,0.9125667808641603,0.938401583728984,7.525249999999983,6.012499999999852,7.053487499999997,8.037518750000002
subsample_vs_full,50,200,0.9424505154941281,0.96734258464045,0.9342270326860308,0.9505513517425791,0.9375001122277129,0.9649644349022404,0.925988978087356,0.9491911396177977,6.581749999999829,5.3625000000001,6.175837499999792,7.05675937499987
subsample_vs_full,70,200,0.968494025306397,0.9830742664000947,0.9634078734002818,0.9731170599525407,0.9559380324272433,0.9787052700114485,0.946948735255989,0.9638644179471826,5.133124999999534,4.774999999999081,4.79798437499949,5.510506249999551
subsample_vs_full,90,200,0.9850462888540877,0.9923826155141362,0.9823081949121835,0.987529078243011,0.9709600101052571,0.9891591098251088,0.9645446151378546,0.9765206599763345,3.1652499999996087,2.9374999999994156,2.867824999999636,3.4629406249996233
