stem,n_available
-15MmJrqU38,118
-4sq1sUI7-I,118
-E5lmFh_0x0,118
-Gvgb3K5iOE,117
-rT_0DJQygY,118
0FfElnIC8mM,116
0m0w1wEReOI,115
18fkHq5tbmQ,116
1ec5zdJPbnU,117
1uldbfT264k,117
28JvbWHN6w0,116
2SeNCoP6Zy8,117
30zfbFdeY7g,114
3NqMmAYSrJw,114
3OByv5luEjc,118
3QuyNWZoKgk,116
3WqrNqX1lsI,117
3jmQ3-LNeAU,119
44j8lJU2dqM,118
4VKiwmQJ4Lo,116
4XIvB4rPehs,118
4liY0E7XBTw,119
4nbBTmGOusA,117
55W2LxbQoHc,118
5Fj-VIslrFc,117
5bF0V6bAwjc,117
5sIaUu2igUY,117
6FQLjcGmOaU,116
6Rqy3BpSr_U,119
6c8RiGGHEYY,117
6gPAjNCyHB8,116
6tniJKkjVv0,118
7976yzHXBJc,118
7VuqbMbgLHk,117
8W1ij30ACGg,118
94LD5nwivVs,118
98s7mqb_II0,116
9f8xPaRWAbg,119
9hODzWIY7Hc,116
9tP_cphjz3E,120
Ai9l_8xy_pc,114
AkYhR1lc8QM,119
BXbKa0EqW8E,118
BZs2ixvEyKM,117
C0vS_SbaaFI,117
CDetbKTJ1dY,117
CpJMjyTMg1Q,117
Cwkej79U3ek,115
CzYrMns8QAg,118
D3sueyrnhNw,118
DGZLtb-MWp4,116
DO5TjDsrRpM,117
DgT4CPv_CCE,118
E2fPGGZgp-M,117
E3bbJ3GMi48,119
E6uudzXoTJo,118
Fwc3x6UOTUw,117
G4WTl1KqSVw,117
G7lUD3Bz-wY,117
GC5E8ie2pdM,118
Gp_CtNDepiI,116
HyIEZPubbEk,118
HzKQfrNseoI,118
K7Ayxc_RaU4,117
K7LnjbxJB9E,115
KCHoaz1DG_4,116
KOC46hclHDA,118
L4BVG7rL88I,117
LmQMjWVzJMs,117
M04cGx5wulA,117
MHiQDvejiZE,117
N8TkD2R-hPY,119
NwiINF6FU2I,117
O0Bb7vvDyuM,117
O76LY5X46rg,115
ONTJkxINr1U,118
ORDVCeBjJdM,118
OSkUD7S_WSs,117
Odh8Oe5sZa0,119
PIFXJ4XQX4E,116
PRP1fU8obtA,118
PuHJRHiXNMQ,117
PzcCTtPanYQ,119
QYRQKFHbi3k,119
RHTvwPwBpF0,118
S6LOS5R8LQU,118
SAheAwnUbcE,119
Sko7dU0qJN0,116
T9EKqFrer9U,118
TTrdYIdxmy0,115
Tsdy0lD1SSs,117
TyFYPz2V2ZY,116
UpLwQAN25so,118
UsjvI9tG9u8,118
UxD-yc9RWPA,116
V9Sd5QiDkkw,118
VG-b7wi8nBM,118
VRPsiH-UpDc,119
W0M-eje90TU,117
W2trq2APLIw,117
W93p02aU4YU,117
WCdht_9tf1M,117
WMeW6IJJGLo,117
WXgaSUb0X-o,116
WuiBdljkU2E,117
XLFAH6gkfb4,117
YO-JGE1c8hE,116
YbdoCyC9r4E,118
YmpqEe8jKlU,117
YoD4qPd6ntA,117
Yxj0QTk4gko,118
ZLgU_h1V6DA,118
ZYE7UJSA7k0,118
Z_czLm560A4,117
Zd_VDxlEZP8,116
Zk8KnhrJpp8,117
ZllgNaVpYz8,117
_BcRXT8DUu0,119
_rOVBXw47mk,118
a6U0NuNx6Rs,119
aezgXC00hQw,118
bSmvp0w2zYY,118
bTSTMIoNf9k,116
bY2yvESoWAs,117
bhJjNBcHdNs,119
bjW1WfRAk18,117
cCnf1w1DzlA,117
cetR8PMSK0c,119
cnkWWKwo4Ww,116
cugnPFhB2L8,117
dlXZYP7bDCY,119
eDDXIycpNNU,117
eQbTz-OUyfA,117
ebHTsxs9j4A,115
ebgt9w3tLcQ,119
f8edbq7JoqQ,118
f9a5K5vowLo,116
faAObMnqMKY,118
fkbhJS6HXLo,117
fmZ_nkEkZ_c,116
g6mNueuu8c8,118
gRacamF19ZM,119
ggikYXT_Z9g,119
ggzR6BQXAk0,118
gktSILI4uGw,115
glaZwDDrTSo,116
grjlXtjRC-U,120
h7cOOfpdEfk,119
hC0AvnigvJc,117
hV3i-2bykvo,118
hV_oeKf3dLU,119
hXYT32hIbX4,115
hnAeK7UyQp0,118
i5ubDN3SySI,118
j3Itb7Or3aA,116
jGGQyqohOaw,119
jR_j-LPLBvU,117
kAV_6EHIuXU,117
kORjDONhB3E,116
k_M2pPYYYH0,119
lNR4TrmRIcY,117
lUnynBPGc-Q,116
lakJiuCazfk,116
le6FHCO1sd8,116
lsFMXK1YPG8,119
mEfvYXGi9Qw,118
mMPxaBYL3hY,118
mUSsyCtoC60,118
n0x7jpD7upQ,119
oCOWsvnWJuA,117
ojRj2JK5oCI,118
p5wp3UBBt10,118
p9OZAZrw-9o,118
pOEzjT-SED0,116
pPAAFMtDUzo,119
pTK9FnAzgwI,117
q1tC8PSDJe4,117
qhg8a5LUk-Y,118
qtDcpyukzIw,118
rPOn6B6zcGU,116
rgQacXMj7EQ,120
s7VmlXsURZQ,115
sS8jpNdABgw,116
tBCoITfR6GQ,118
tIqmSwfnRSw,118
tQbIvj7jM9A,117
tuhxZytmhss,117
uRleWlf-trQ,119
uZUSXcdYGS4,117
vF1zk38YxKQ,117
wR9XzsRdg1M,118
wbfPOw65xXw,117
whnKlYxrops,118
wlTbG2KT7Qs,118
x0tJ_ICD47Y,119
x4XOZ4LotYc,116
x_rLT6Y93rk,119
xiWtqVtd1Oo,117
xz1bDy8Kt38,116
yZfHX-TsaC4,119
