country,role,n_own_stems,n_non_own_stems,mean_own_istc,mean_other9_istc,mean_delta_istc_own,mean_delta_istc_non_own,baseline_adj_delta,se_delta_istc,cohens_d_adj,mannwhitney_U,p_adj_one_sided_gt0,cohens_dz_raw,p_raw_one_sided_gt0
AU,descriptive,2,198,4.814066666666667,4.312288888888889,0.5017777777777779,-0.07770987654320984,0.5794876543209877,0.3199851851851862,1.0602725524572734,318.0,0.08040201005025122,1.1088340515203616,
BR,descriptive,2,198,4.443933333333334,4.67692962962963,-0.23299629629629637,0.07262341937897492,-0.3056197156752713,1.0007444444444444,-0.6137457548094183,182.0,0.5792964824120603,-0.16463070269045832,
EG,balanced,20,180,4.373223333333333,4.4558629629629625,-0.0826396296296296,-0.144901975308642,0.062262345679012385,0.1038319804594539,0.13831170673410817,1827.0,0.4570310266894202,-0.17796812568687997,0.8255949020385742
FR,balanced,20,180,4.079486666666666,4.067322222222223,0.012164444444444334,-0.07009913580246918,0.08226358024691352,0.09435289466351318,0.18139038469731725,2037.0,0.16774805544267102,0.028828500475053042,0.3780832290649414
JP,descriptive,2,198,4.3993,4.238007407407407,0.16129259259259277,0.04433692480359145,0.11695566778900132,0.41258148148148205,0.2234085950606459,231.0,0.3503517587939698,0.2764328771321754,
KR,balanced,20,180,4.517636666666666,4.557418148148148,-0.03978148148148131,-0.10331213991769551,0.06353065843621421,0.12175354394015935,0.11975475850652316,1892.0,0.3547168316986129,-0.07306078653608744,0.6219167709350586
MX,balanced,20,180,4.595980000000001,4.2163081481481495,0.379671851851852,0.23819674897119336,0.14147510288065862,0.08333771169975089,0.39496530149139203,2177.0,0.06261002524146687,1.0187129602773914,0.00024127960205078125
PL,descriptive,2,198,4.5667333333333335,4.642685185185186,-0.07595185185185227,-0.12171335578002246,0.04576150392817019,0.6111148148148146,0.09591652320952838,197.0,0.5074874371859298,-0.08788212654343074,
US,balanced,20,180,4.075519999999999,4.0539,0.021620000000000063,-0.055644814814814855,0.07726481481481492,0.08556543577474111,0.21997588413976257,2038.0,0.1667283368105048,0.056499203487743656,0.43474388122558594
ZA,descriptive,2,198,5.061966666666667,4.7906814814814815,0.2712851851851852,0.17016752712308267,0.10111765806210252,0.1836555555555552,0.19975525498682528,232.0,0.346180904522613,1.044496549530545,
