listener_country,n_matched_trials,circular_mean_phase_fraction,resultant_length,median_trial_phase_strength
AU,783,0.004560695112431499,0.6095476635939941,0.6485047702544102
BR,874,0.0259228379771027,0.6327941928103425,0.6178962960680738
EG,984,0.019651827194492218,0.5616600253464982,0.4774600201027762
FR,1662,-0.00012198656546375722,0.6152257085490143,0.6734635514427736
JP,1241,0.007585048267644197,0.5410206635945146,0.7755182429038101
KR,974,0.002015171623109125,0.6315150327947083,0.7506380955242
MX,1360,0.005484807641120331,0.6521969263906267,0.6203329563566735
PL,1050,0.016767574796130717,0.6172529716187506,0.5928483443110214
US,1835,0.009115625608601506,0.603535341504252,0.6710430350184476
ZA,687,0.0026147635350490033,0.6191269021804993,0.5484956232419765
