stem,n_participants,pooled_istc,pooled_crowd_gs_cv,n_beats,beat_this,madmom
-15MmJrqU38,118,51.9,0.012909508063233953,51,1.0,1.0
-4sq1sUI7-I,118,44.666666666666664,0.011590391844065802,37,1.0,0.6545454545454547
-E5lmFh_0x0,118,30.4,0.01790390210696713,36,0.8888888888888888,0.9444444444444444
-Gvgb3K5iOE,117,69.83333333333333,0.007114933444642243,50,1.0,1.0
-rT_0DJQygY,118,47.3,0.003972635827085355,88,1.0,1.0
0FfElnIC8mM,116,57.0,0.009351692326042747,40,1.0,1.0
0m0w1wEReOI,115,74.46666666666667,0.005265340643715562,56,1.0,1.0
18fkHq5tbmQ,116,57.6,0.015137951047749787,72,0.6666666666666666,1.0
1ec5zdJPbnU,117,53.46666666666667,0.002069236916153763,66,1.0,1.0
1uldbfT264k,117,48.6,0.019255437502104424,59,0.7666666666666667,0.1
28JvbWHN6w0,116,39.43333333333333,0.008535286245348576,78,0.6551724137931034,0.34375
2SeNCoP6Zy8,117,72.66666666666667,0.006406908697212383,64,0.9846153846153848,1.0
30zfbFdeY7g,114,35.63333333333333,0.017923347544546095,55,1.0,1.0
3NqMmAYSrJw,116,58.733333333333334,0.010282998734405881,55,0.6666666666666666,1.0
3OByv5luEjc,118,40.06666666666667,0.014530625104300157,60,0.983050847457627,0.689655172413793
3QuyNWZoKgk,117,66.13333333333334,0.010198157173244658,50,1.0,1.0
3WqrNqX1lsI,117,73.53333333333333,0.00499383751990941,65,1.0,1.0
3jmQ3-LNeAU,119,62.63333333333333,0.008162325733603119,80,0.6666666666666666,0.95
44j8lJU2dqM,118,48.43333333333333,0.004314720670232772,84,0.6666666666666666,1.0
4VKiwmQJ4Lo,116,51.0,0.0040117261665468746,66,1.0,1.0
4XIvB4rPehs,118,48.06666666666667,0.017208246275798415,49,1.0,1.0
4liY0E7XBTw,119,68.63333333333334,0.0021015654366350767,55,0.9818181818181818,0.9818181818181818
4nbBTmGOusA,117,48.8,0.01555083000479358,67,0.6666666666666666,1.0
55W2LxbQoHc,118,45.733333333333334,0.01620841678598869,50,0.925925925925926,0.64
5Fj-VIslrFc,117,36.96666666666667,0.018422680356738035,60,0.4444444444444444,0.5666666666666667
5bF0V6bAwjc,117,43.833333333333336,0.013382543422911446,42,1.0,0.6666666666666666
5sIaUu2igUY,117,56.333333333333336,0.003294422500566836,95,0.6571428571428571,0.6571428571428571
6FQLjcGmOaU,118,35.666666666666664,0.01448382395356627,51,0.6753246753246753,1.0
