_stem,corpus_group,n_crowd_beats,n_gt_beats,crowd_median_ioi_s,gt_median_ioi_s,metrical_ratio,metrical_class,phase_offset_ms,phase_async,bimodal_strength,bimodal_flag,F,AMLt,CMLt,corpus,crowd_rating,ref_rating,rating_delta,metrical_label
0001_12step,benchmark100,28,29,0.5305,0.531,0.999,tactus_match,,False,0.0,False,0.0,1.0,0.0,harmonix,6.05,4.15,1.8999999999999995,Matched rate
0003_6foot7foot,benchmark100,42,21,0.358,0.7143,0.501,double_time,51.6,False,0.0,False,0.667,0.929,0.0,harmonix,5.181818181818182,4.25,0.9318181818181817,Crowd double rate
0004_abc,benchmark100,24,24,0.6368,0.6398,0.995,tactus_match,,False,0.833,True,0.0,0.625,0.0,harmonix,4.461538461538462,3.4615384615384617,1.0,Matched rate
0005_again,benchmark100,39,39,0.3848,0.3846,1.0,tactus_match,-25.4,True,0.273,False,0.974,0.974,0.974,harmonix,3.6666666666666665,3.952380952380953,-0.2857142857142865,Matched rate
001_youtube_fV4DiAyExN0,benchmark100,42,21,0.3607,0.7238,0.498,double_time,30.1,False,0.054,False,0.667,0.976,0.0,tapcorrect,5.461538461538462,4.6923076923076925,0.7692307692307692,Crowd double rate
002_youtube_CvMfvuJsYmE,benchmark100,33,33,0.4481,0.4501,0.996,tactus_match,-23.4,True,0.0,False,1.0,1.0,1.0,tapcorrect,4.8,5.4,-0.6000000000000005,Matched rate
003_youtube_tXjqKzX28LI,benchmark100,37,37,0.3996,0.3993,1.001,tactus_match,-42.0,True,0.0,False,1.0,1.0,1.0,tapcorrect,5.285714285714286,4.571428571428571,0.7142857142857144,Matched rate
004_youtube_IwOfCgkyEj0,benchmark100,25,24,0.6094,0.6085,1.001,tactus_match,-54.9,True,0.0,False,0.939,0.96,0.96,tapcorrect,5.4,4.9,0.5,Matched rate
0054_conceited,benchmark100,25,25,0.6036,0.603,1.001,tactus_match,,False,0.0,False,0.0,0.96,0.0,harmonix,6.0,5.9,0.09999999999999964,Matched rate
005_youtube_RB-RcX5DS5A,benchmark100,18,18,0.8192,0.822,0.997,tactus_match,-144.1,True,4.0,True,0.0,0.056,0.056,tapcorrect,5.25,3.5,1.75,Matched rate
00_Funk3-98-A_comp_mix,benchmark100,31,24,0.4854,0.6122,0.793,other_flip,-27.1,False,0.091,False,0.291,0.0,0.0,guitarset,2.8947368421052633,3.0526315789473686,-0.1578947368421053,Non-integer
00_Rock2-85-F_comp_mix,benchmark100,21,21,0.707,0.7059,1.002,tactus_match,-31.6,True,0.278,False,1.0,1.0,1.0,guitarset,5.0,5.1,-0.09999999999999964,Matched rate
00_SS1-68-E_comp_mix,benchmark100,17,17,0.882,0.8824,1.0,tactus_match,-19.2,False,0.7,True,1.0,1.0,1.0,guitarset,3.636363636363636,3.636363636363636,0.0,Matched rate
00_SS2-88-F_comp_mix,benchmark100,22,22,0.6809,0.6818,0.999,tactus_match,-3.5,False,0.0,False,1.0,1.0,1.0,guitarset,3.8,4.0,-0.20000000000000018,Matched rate
0191_newslang,benchmark100,33,33,0.4607,0.4615,0.998,tactus_match,39.3,True,0.0,False,1.0,1.0,1.0,harmonix,4.6923076923076925,3.692307692307693,0.9999999999999996,Matched rate
01_Funk2-108-Eb_comp_mix,benchmark100,27,28,0.5564,0.5556,1.002,tactus_match,-5.4,False,0.08,False,0.982,0.964,0.964,guitarset,4.6923076923076925,4.615384615384615,0.07692307692307754,Matched rate
025_youtube_8jsFGdeWNPo,benchmark100,21,21,0.6984,0.6952,1.005,tactus_match,-40.2,True,0.267,False,0.905,1.0,1.0,tapcorrect,4.5,5.166666666666667,-0.666666666666667,Matched rate
02_BN3-119-G_comp_mix,benchmark100,30,30,0.5047,0.5042,1.001,tactus_match,-21.5,True,0.0,False,1.0,1.0,1.0,guitarset,5.0588235294117645,5.529411764705882,-0.47058823529411775,Matched rate
02_Jazz2-110-Bb_comp_mix,benchmark100,27,27,0.5459,0.5455,1.001,tactus_match,-14.4,False,0.0,False,1.0,1.0,1.0,guitarset,2.636363636363636,3.9166666666666665,-1.2803030303030307,Matched rate
03_SS3-84-Bb_comp_mix,benchmark100,32,22,0.4739,0.7143,0.663,other_flip,-5.2,False,0.308,False,0.407,0.0,0.0,guitarset,2.727272727272727,3.1818181818181817,-0.4545454545454546,Non-integer
054_youtube_UgL4N4Hf1dk,benchmark100,32,33,0.4544,0.4545,1.0,tactus_match,-15.2,False,0.0,False,0.985,0.97,0.97,tapcorrect,5.631578947368421,5.45,0.18157894736842106,Matched rate
071_youtube_WBQ03PXMpqY,benchmark100,40,41,0.3702,0.3688,1.004,tactus_match,-19.8,False,0.0,False,0.938,0.902,0.902,tapcorrect,5.444444444444445,5.333333333333333,0.1111111111111116,Matched rate
0773_kissmethruthephone,benchmark100,38,19,0.4,0.8,0.5,double_time,8.1,False,0.097,False,0.667,0.974,0.0,harmonix,4.476190476190476,5.095238095238095,-0.6190476190476186,Crowd double rate
0948_thislove,benchmark100,24,24,0.6327,0.6312,1.002,tactus_match,,False,0.421,True,0.0,0.958,0.0,harmonix,6.083333333333333,3.0833333333333335,2.9999999999999996,Matched rate
Albums-AnaBelen_Veneo-13,ballroom,33,33,0.4519,0.45,1.004,tactus_match,-4.8,False,0.036,False,1.0,1.0,1.0,ballroom,4.7,4.1,0.6000000000000005,Matched rate
Albums-Ballroom_Classics4-01,ballroom,22,21,0.6917,0.687,1.007,tactus_match,-109.9,True,0.1,False,0.14,0.909,0.909,ballroom,4.0,3.5625,0.4375,Matched rate
Albums-Cafe_Paradiso-09,ballroom,21,21,0.7124,0.72,0.989,tactus_match,-29.8,True,0.857,True,0.952,1.0,1.0,ballroom,3.642857142857143,3.6,0.042857142857142705,Matched rate
Albums-Chrisanne2-12,ballroom,51,51,0.2949,0.3,0.983,tactus_match,16.6,False,0.0,False,1.0,1.0,1.0,ballroom_heldout,5.545454545454546,5.5,0.04545454545454586,Matched rate
Albums-Chrisanne3-09,ballroom,23,45,0.6725,0.337,1.996,half_time,-20.3,False,0.529,True,0.676,1.0,0.0,ballroom_heldout,3.388888888888889,3.2222222222222223,0.16666666666666652,Crowd half rate
Albums-GloriaEstefan_MiTierra-04,ballroom,30,30,0.5026,0.5029,0.999,tactus_match,0.0,False,0.038,False,1.0,1.0,1.0,ballroom,5.0,5.076923076923077,-0.07692307692307665,Matched rate
Albums-GloriaEstefan_MiTierra-06,ballroom,33,33,0.4509,0.453,0.995,tactus_match,-0.6,False,0.0,False,1.0,1.0,1.0,ballroom,5.176470588235294,5.117647058823529,0.058823529411765385,Matched rate
Albums-GloriaEstefan_MiTierra-11,ballroom,22,22,0.6893,0.69,0.999,tactus_match,6.0,False,0.211,False,1.0,1.0,1.0,ballroom_heldout,5.0,5.384615384615385,-0.384615384615385,Matched rate
Albums-Latin_Jam-04,ballroom,32,32,0.4697,0.47,0.999,tactus_match,-22.8,True,0.0,False,1.0,1.0,1.0,ballroom_heldout,6.166666666666667,6.333333333333333,-0.16666666666666607,Matched rate
Albums-Latin_Jam4-08,ballroom,26,26,0.5791,0.58,0.999,tactus_match,-20.4,True,0.0,False,1.0,1.0,1.0,ballroom_heldout,5.294117647058823,5.5,-0.20588235294117663,Matched rate
Albums-Latino_Latino-10,ballroom,28,28,0.5308,0.53,1.002,tactus_match,19.1,False,0.0,False,1.0,1.0,1.0,ballroom,5.0,5.5,-0.5,Matched rate
Albums-Macumba-07,ballroom,25,25,0.6,0.6,1.0,tactus_match,-11.4,False,0.0,False,1.0,1.0,1.0,ballroom_heldout,5.9375,6.125,-0.1875,Matched rate
Albums-Step_By_Step-03,ballroom,21,22,0.6874,0.69,0.996,tactus_match,-54.2,True,0.0,False,0.744,0.955,0.955,ballroom_heldout,4.6,5.214285714285714,-0.6142857142857148,Matched rate
Albums-StrictlyDancing_Tango-09,ballroom,31,31,0.4744,0.47,1.009,tactus_match,-0.7,False,0.0,False,1.0,1.0,1.0,ballroom_heldout,5.25,5.625,-0.375,Matched rate
Bach_Fugue_bwv_846_Shi05M,benchmark100,25,12,0.6136,1.2116,0.506,double_time,-18.9,False,0.0,False,0.595,0.92,0.0,asap,5.0,4.857142857142857,0.14285714285714324,Crowd double rate
Beethoven_Piano_Sonatas_16-1_Khmara05M,benchmark100,34,36,0.4354,0.4271,1.019,tactus_match,-78.8,True,0.0,False,0.371,0.333,0.333,asap,3.3076923076923075,4.538461538461538,-1.2307692307692308,Matched rate
Chopin_Etudes_op_10_1_ChenW03M,benchmark100,22,42,0.6997,0.3458,2.023,half_time,-42.5,False,0.273,False,0.187,0.364,0.0,asap,3.0,2.125,0.875,Crowd half rate
Debussy_Images_Book_1_1_Reflets_dans_lEau_ParkJH13M,benchmark100,19,17,0.7842,0.7806,1.005,tactus_match,74.8,True,6.667,True,0.111,0.368,0.105,asap,2.7222222222222223,3.3333333333333335,-0.6111111111111112,Matched rate
Haydn_Keyboard_Sonatas_50-1_no_repeat_GalantM02M,benchmark100,28,28,0.5389,0.5124,1.052,tactus_match,0.8,False,0.043,False,0.679,0.75,0.75,asap,4.214285714285714,5.0,-0.7857142857142856,Matched rate
Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M,benchmark100,28,15,0.5247,0.9727,0.539,double_time,3.2,False,0.25,False,0.279,0.414,0.0,asap,2.4444444444444446,3.888888888888889,-1.4444444444444442,Crowd double rate
Media-100616,ballroom,52,52,0.2887,0.287,1.006,tactus_match,2.5,False,0.093,False,1.0,1.0,1.0,ballroom_heldout,6.066666666666666,6.2,-0.13333333333333375,Matched rate
Media-103401,ballroom,31,31,0.4844,0.48,1.009,tactus_match,-8.2,False,0.0,False,1.0,1.0,1.0,ballroom,6.416666666666667,6.666666666666667,-0.25,Matched rate
Media-103410,ballroom,31,31,0.4844,0.48,1.009,tactus_match,-3.4,False,0.0,False,1.0,1.0,1.0,ballroom_heldout,6.375,6.533333333333333,-0.15833333333333321,Matched rate
Media-103412,ballroom,31,31,0.4819,0.48,1.004,tactus_match,-4.7,False,0.0,False,1.0,1.0,1.0,ballroom_heldout,5.0,5.0,0.0,Matched rate
