variant,n_stems,mean_f_vs_canonical,matched_rate_vs_canonical,median_abs_phase_vs_canonical,mean_f_vs_gt,mean_canonical_f_vs_gt,mean_delta_f_vs_gt,matched_rate_vs_gt
T_steps_160,240,0.9672623290288948,0.9666666666666667,0.0,0.7310116298179935,0.7189594933168992,0.012052136501094353,0.6583333333333333
T_steps_80,240,0.9520683968780711,0.9375,0.0003903041683864415,0.7260450736223432,0.7189594933168992,0.007085580305443991,0.6708333333333333
bimodal_008,240,0.9979999999999999,1.0,0.0,0.7189594933168992,0.7189594933168992,0.0,0.6583333333333333
bimodal_012,240,1.0,1.0,0.0,0.7189594933168992,0.7189594933168992,0.0,0.6583333333333333
ioi_min_023,240,0.9703568796052866,0.95,0.0002755638431619866,0.7198887054687616,0.7189594933168992,0.0009292121518623752,0.6666666666666666
ioi_min_033,240,0.9469696554787853,0.9208333333333333,0.0,0.7182559130881566,0.7189594933168992,-0.0007035802287425475,0.6333333333333333
peak_weight_025,240,0.9729777050266696,0.95,0.0,0.7050693996553123,0.7189594933168992,-0.013890093661586802,0.6291666666666667
peak_weight_075,240,0.9791248074110531,0.9583333333333334,0.0,0.7276104877114347,0.7189594933168992,0.008650994394535556,0.6666666666666666
phi_steps_160,240,0.9975401606425703,0.9958333333333333,0.0,0.7204320577065968,0.7189594933168992,0.0014725643896976487,0.6583333333333333
phi_steps_320,240,0.9936041083099906,0.9958333333333333,0.0,0.7157232280346842,0.7189594933168992,-0.003236265282214899,0.6583333333333333
snap_max_008,240,0.9999338624338624,1.0,0.0,0.7174764462562169,0.7189594933168992,-0.0014830470606823406,0.6583333333333333
snap_max_016,240,0.9991472776194998,1.0,0.0,0.7205519334513798,0.7189594933168992,0.001592440134480688,0.6583333333333333
snap_weight_025,240,0.9999358974358974,1.0,0.0017939209159502428,0.7210397864752843,0.7189594933168992,0.0020802931583851912,0.6583333333333333
snap_weight_065,240,0.9997747741543299,1.0,0.0017489525438211678,0.7171593130692968,0.7189594933168992,-0.0018001802476023544,0.6583333333333333
